Name,Date,Duration
Vanessa Hughes,2024-01-04,50
Larry Smith,2024-01-25,40
George Hooper,2024-01-29,40
Maria Dixon,2024-01-12,50
Lisa Todd,2024-01-03,40
Nathaniel Fleming,2024-01-19,50
Douglas Martin,2024-01-23,50
Shawn Contreras,2024-01-16,30
Anita Snyder,2024-01-23,40
Katherine Nguyen,2024-01-25,50
Randy Harris,2024-01-25,40
Laura Evans,2024-01-11,50
Barbara Lawrence,2024-01-09,40
Elizabeth Collins,2024-01-14,50
Caroline Harris,2024-01-04,30
David Higgins,2024-01-28,40
Kristine Dudley,2024-01-09,30
John Nielsen,2024-01-07,40
Derek Garner,2024-01-15,40
Erin Collins,2024-01-05,50
Stacey Davis,2024-01-20,50
Susan Bailey,2024-01-22,50
Jessica Rodriguez,2024-01-26,50
Sarah Thornton,2024-01-18,50
Douglas Smith,2024-01-16,50
Mrs. Mary Russell,2024-01-13,50
Grace Atkinson,2024-01-10,50
Jessica Shepherd,2024-01-07,30
Alicia Lopez,2024-01-10,30
Bryan Jackson,2024-01-21,40
Kelly Maynard,2024-01-28,30
Annette Solomon,2024-01-16,40
Joy Martinez,2024-01-10,40
Elizabeth Lewis,2024-01-25,50
Shelly Jones,2024-01-01,50
Lindsay Hunt,2024-01-25,50
Shawn Peters,2024-01-18,50
Michael Martinez,2024-01-11,50
Michelle Johnson,2024-01-10,50
Sue Robbins,2024-01-12,40
Dustin Hayes,2024-01-15,30
Jerry Morrison Jr.,2024-01-21,30
Sharon Brown,2024-01-02,40
Terry Mcmahon,2024-01-19,30
Eileen Spears,2024-01-10,50
Victoria Lee DDS,2024-01-07,40
Joseph Juarez,2024-01-30,30
Jennifer Nunez,2024-01-13,30
Angela Mcdonald,2024-01-13,50
David Sharp,2024-01-19,50
Sean Walton,2024-01-06,50
Matthew Thornton,2024-01-30,40
Emily Davis,2024-01-15,50
Sarah King,2024-01-11,40
Jeffery Wyatt,2024-01-27,50
Ian Fuller,2024-01-22,40
Michele Sandoval,2024-01-18,50
Mallory Murphy,2024-01-17,50
Stephen Frazier,2024-01-30,40
Tyrone Blair,2024-01-25,50
Kenneth Wright,2024-01-04,30
Cassandra Lewis,2024-01-28,50
Amber Green,2024-01-15,50
Evan Ortega,2024-01-16,50
Alexis Simon,2024-01-12,50
Debra Garcia,2024-01-13,40
Daniel Strong,2024-01-05,50
Aaron Miller,2024-01-21,40
Robert Perez,2024-01-18,40
Cheryl Turner,2024-01-18,50
Kathleen Perez,2024-01-25,30
Angel Harris,2024-01-15,30
Paul Espinoza,2024-01-14,40
Amanda Walters,2024-01-25,30
Sarah Warren,2024-01-13,50
Anthony Schultz,2024-01-28,40
Matthew Lopez,2024-01-27,30
Robin Reynolds,2024-01-13,50
Sydney Hall,2024-01-28,50
Francisco Smith,2024-01-28,40
Stephanie Carson,2024-01-14,50
James Francis,2024-01-24,40
Sandra Clay,2024-01-17,40
Kevin Green,2024-01-23,40
Catherine Reynolds,2024-01-05,30
Lauren Gray,2024-01-22,40
Jennifer Foster,2024-01-13,50
Mark Orr,2024-01-29,30
Margaret Bowers,2024-01-09,40
Joseph Turner,2024-01-22,40
Sandra Munoz,2024-01-02,30
Emily Frye,2024-01-11,50
Mark Allen,2024-01-28,40
Stacie Turner,2024-01-20,40
Cameron Green,2024-01-13,40
Adriana Adams,2024-01-21,30
Robert Blake,2024-01-09,40
Steven Mcdaniel,2024-01-10,50
Kari Cook,2024-01-26,30
Cheryl Hines,2024-01-11,50
Joshua Hendrix,2024-01-22,50
Victoria Brown,2024-01-01,30
Timothy Zimmerman,2024-01-18,50
Tyler Blackwell,2024-01-06,40
Mr. Steven Sawyer,2024-01-20,50
Pamela Jimenez,2024-01-19,50
Anthony Rogers,2024-01-29,40
Lisa Wright,2024-01-20,50
Kimberly Hernandez,2024-01-26,40
Rachel Dean,2024-01-03,50
Antonio Stevens,2024-01-16,40
Jon Allen,2024-01-23,50
Heather Cooper,2024-01-06,50
Ethan Ryan,2024-01-03,30
Kristine Taylor,2024-01-14,30
Rhonda Parsons,2024-01-18,40
Jessica Miller,2024-01-05,30
Lindsey Fernandez,2024-01-28,40
Lauren Johnson,2024-01-24,50
Jeremy Rowe,2024-01-28,50
Louis Lang,2024-01-09,40
Wayne Fitzgerald,2024-01-24,30
Rebekah Bryant,2024-01-07,30
Robert Vasquez,2024-01-17,50
Sharon Mullins,2024-01-16,30
Madeline Wolf,2024-01-07,50
Michelle Young,2024-01-19,50
Kevin Leonard,2024-01-27,40
Scott Davis,2024-01-26,40
Eugene Singh,2024-01-25,50
Jessica Beck,2024-01-01,30
Brooke Price,2024-01-25,30
Crystal Bell PhD,2024-01-22,50
Julie White,2024-01-08,50
Mrs. Amy Evans,2024-01-03,30
Kim Dixon,2024-01-28,40
Benjamin George,2024-01-03,40
James Greene,2024-01-16,50
Craig Hill,2024-01-05,40
Bobby Petty,2024-01-15,50
Shelby Kelley,2024-01-27,30
Dawn Long,2024-01-26,50
Mrs. Diane Palmer,2024-01-12,50
Ryan Miller,2024-01-05,50
Raymond Skinner,2024-01-23,50
Michael Wiggins,2024-01-05,40
Kimberly Cherry,2024-01-13,50
Carol Schaefer,2024-01-14,40
Robert Jefferson,2024-01-24,40
James Garcia,2024-01-20,40
Brittany Miller,2024-01-20,50
Vickie Nolan,2024-01-05,50
Stephanie Figueroa,2024-01-26,40
Danielle Hayes,2024-01-30,40
Brenda Clark,2024-01-01,40
Barry Dominguez,2024-01-17,40
Alexis Collins,2024-01-15,40
Mackenzie Stark,2024-01-05,40
Benjamin Thomas,2024-01-02,50
Ann Gomez,2024-01-02,40
Gregory White,2024-01-19,40
Cassandra Houston,2024-01-02,30
Patricia Bradley,2024-01-30,30
Dana Carroll,2024-01-22,50
Jessica Dalton,2024-01-13,50
Jordan Wong,2024-01-02,30
Dr. Casey Hamilton,2024-01-02,40
Donald Hodge,2024-01-20,40
Shannon Diaz,2024-01-02,40
Kelly Diaz,2024-01-13,30
Crystal Griffin,2024-01-07,30
Jaime Bailey,2024-01-12,50
Thomas Davis,2024-01-30,50
Bradley Holloway,2024-01-03,50
Henry Jones,2024-01-14,40
Stephen Key,2024-01-13,50
Dillon Jones,2024-01-08,50
Sally Baker,2024-01-03,50
Michael Arnold,2024-01-20,30
John Little,2024-01-07,30
Kenneth Dillon,2024-01-19,50
Michael Myers,2024-01-23,50
Morgan Hudson DVM,2024-01-26,30
Jacqueline Pearson,2024-01-15,30
Katie Burch MD,2024-01-22,50
Cory Villarreal,2024-01-02,50
Steven Nielsen,2024-01-08,30
Brittany Potter DDS,2024-01-05,30
Isaac James,2024-01-06,30
Michael Lynch,2024-01-16,50
Valerie Krause,2024-01-14,50
Justin Mejia,2024-01-18,30
Julia Christian,2024-01-06,40
Angela Davis,2024-01-24,40
James Ritter,2024-01-04,50
Anna Wallace,2024-01-15,50
Karen Bell,2024-01-02,30
Tiffany Villanueva,2024-01-03,40
Dr. Trevor Anderson,2024-01-11,30
Alyssa Gardner,2024-01-03,50
Kathryn Smith,2024-01-04,50
Regina Young,2024-01-04,30
Christopher Mitchell,2024-01-16,50
Carrie Hughes,2024-01-22,50
Brenda Yoder,2024-01-11,30
James Boyle,2024-01-20,50
Paul White,2024-01-24,40
Christopher Barnes,2024-01-23,50
Spencer Todd,2024-01-12,40
Ms. Karen Morse,2024-01-01,30
Elizabeth Henderson,2024-01-27,50
Kristina French,2024-01-05,40
Christopher Ellis,2024-01-04,30
Theresa Boyd,2024-01-02,40
Jasmine Lawrence,2024-01-17,30
Michelle Frank,2024-01-10,40
Amanda Michael,2024-01-02,40
Barry Brown,2024-01-30,40
James Torres,2024-01-17,40
Julia Ward,2024-01-27,40
Juan Mejia,2024-01-14,40
Bobby Foley,2024-01-22,30
Xavier Hill,2024-01-15,30
Brandon Patrick,2024-01-28,50
John Meyer,2024-01-22,50
Anthony Johnson,2024-01-29,50
Sydney Munoz,2024-01-03,40
Michelle Ruiz,2024-01-25,30
Bradley Hoffman,2024-01-28,40
Linda Smith,2024-01-25,30
Brandon Nguyen,2024-01-04,30
Justin Powers,2024-01-27,30
Jennifer Tucker,2024-01-17,30
Allison Waters,2024-01-10,50
Christopher Burgess,2024-01-05,40
Amanda Bartlett,2024-01-12,30
Ronald Oliver,2024-01-22,30
Katherine Morrison,2024-01-09,30
Jennifer Martinez,2024-01-06,30
Ian Perez MD,2024-01-29,30
Scott Harris,2024-01-27,50
Devin Davis,2024-01-01,40
William Roberts,2024-01-08,40
Wendy Roy,2024-01-05,40
Michael Graham,2024-01-23,50
Robert Cervantes,2024-01-13,50
Terry Rose,2024-01-27,50
Joseph Sandoval,2024-01-11,50
Julie Monroe,2024-01-24,40
Jennifer Graves,2024-01-08,30
Kayla Adams,2024-01-20,30
Julie Kirk,2024-01-25,50
Emily Campbell,2024-01-06,40
Kathryn Cunningham,2024-01-21,40
Derek Rivera,2024-01-13,50
Jose Barrett,2024-01-21,40
Clinton Young,2024-01-08,40
David Maddox,2024-01-30,40
Ryan Davis,2024-01-29,30
Alan Hernandez,2024-01-29,50
Erika Rogers,2024-01-24,30
Katherine Williams,2024-01-25,50
Pamela Novak,2024-01-03,40
Kerry Murphy,2024-01-21,50
Michael Young,2024-01-04,50
Tammy Burgess,2024-01-09,30
Marcus Andrade,2024-01-14,50
Kristin Reyes,2024-01-24,50
Karl Crawford,2024-01-29,50
Donald Foster,2024-01-12,30
Raymond Davidson,2024-01-25,30
Dominique Brown,2024-01-09,40
Heather Martin,2024-01-14,30
James Myers DDS,2024-01-27,50
Paul Peterson,2024-01-11,50
Andrew Martinez,2024-01-18,40
Ryan Bean,2024-01-29,40
Emily Wells,2024-01-22,40
Rachel Hale,2024-01-12,50
Heidi Schwartz,2024-01-06,40
Leslie Richmond,2024-01-28,30
Christy Vazquez,2024-01-29,40
Christopher Griffin,2024-01-11,50
John Franklin,2024-01-12,40
Mary Gomez,2024-01-13,50
Dorothy Horne,2024-01-05,40
Daniel Dean,2024-01-09,30
Shannon Crawford,2024-01-03,40
Anthony Macias,2024-01-02,50
Joseph Burns,2024-01-07,40
Steven Cook,2024-01-03,30
Erin Wise,2024-01-16,40
Tammy Price,2024-01-03,30
Phillip Bryant,2024-01-14,30
Maria Lawson,2024-01-14,50
Carlos Osborne,2024-01-12,50
Karen Williams,2024-01-03,50
Laura Kennedy,2024-01-10,50
Bradley Lee,2024-01-09,50
Thomas Dean,2024-01-07,30
Daniel Key,2024-01-24,40
Sarah Barnes,2024-01-10,40
Sharon Cook,2024-01-30,40
Hannah Steele,2024-01-09,30
Bradley Holloway,2024-01-24,50
Brian Williams,2024-01-22,50
Jill Rivera,2024-01-16,50
Paula Walsh,2024-01-01,40
Stanley Combs,2024-01-25,30
Theresa Morgan,2024-01-17,30
James Valentine,2024-01-06,30
Sandra Allen,2024-01-01,40
Travis Wolfe,2024-01-17,40
Victoria Stanley,2024-01-05,50
Jonathan Miller,2024-01-02,40
Robert Rodriguez,2024-01-17,40
Richard Smith,2024-01-22,40
Julie Jones,2024-01-07,50
Regina Lee,2024-01-10,50
Bruce Wright,2024-01-04,40
Walter Robinson PhD,2024-01-11,50
Darrell Harmon,2024-01-10,40
Brian Adams,2024-01-09,30
Shawn Peters,2024-01-29,30
Bonnie Harrison,2024-01-27,30
Charles Jones,2024-01-18,30
Steven Ward,2024-01-04,50
Sharon Hunt,2024-01-20,40
Robert Sanchez,2024-01-17,50
Kathleen Morgan,2024-01-07,50
David May,2024-01-16,50
Rachel Figueroa,2024-01-23,30
Katrina Martin,2024-01-08,50
Nicole Franklin,2024-01-13,40
Victoria Lee,2024-01-20,40
Donna Thompson,2024-01-19,40
Michelle Wilson,2024-01-30,30
Renee Gordon,2024-01-16,40
Norma Castaneda,2024-01-19,30
Kimberly Anthony,2024-01-27,50
Jennifer Richardson,2024-01-07,30
Justin Summers,2024-01-24,40
Jessica Green,2024-01-15,30
Susan Bailey,2024-01-30,50
Tony Tapia,2024-01-25,40
Shawn Taylor,2024-01-16,50
Calvin Hughes,2024-01-02,30
Jessica Brown,2024-01-10,40
Bailey Orr,2024-01-03,30
Jamie Foster,2024-01-15,30
Kristina Roach,2024-01-23,50
Cathy Salas,2024-01-30,40
Susan Fisher,2024-01-17,50
Jennifer Burgess,2024-01-16,40
Scott Bean,2024-01-09,30
Kevin Mitchell,2024-01-03,30
Joe Jacobson,2024-01-28,40
Kevin Peterson,2024-01-15,30
Donald Hodge,2024-01-26,30
Linda Mayer,2024-01-29,30
Michael Brown,2024-01-29,30
Carl Carrillo,2024-01-23,50
Larry Vaughn,2024-01-05,40
Joseph Mercado,2024-01-01,50
Shawn Taylor,2024-01-16,30
Margaret Wright,2024-01-28,40
Paul Rivera,2024-01-23,30
John Brewer,2024-01-22,40
Timothy Massey,2024-01-07,50
Kristina Hall,2024-01-29,30
Darrell Wilson,2024-01-11,30
Mark Roy,2024-01-03,50
Tina Gibson,2024-01-02,50
Darrell Wilson,2024-01-14,40
Brandy Miller,2024-01-17,50
Sean Adams,2024-01-28,50
Christian White,2024-01-04,50
Amanda Oconnor,2024-01-05,40
John Johnson,2024-01-15,40
Dean Alexander,2024-01-13,40
Matthew Lopez,2024-01-03,30
Eric Harris,2024-01-26,50
Timothy Johnson,2024-01-10,50
Renee Gordon,2024-01-23,40
Christopher Stanley,2024-01-18,40
Misty Lane,2024-01-12,40
Jason Johnson,2024-01-08,30
Erin Olsen,2024-01-04,50
Daniel Arnold,2024-01-12,30
Michael Davis,2024-01-15,50
Jason Doyle,2024-01-20,40
Sherry Rodriguez,2024-01-29,40
Brad Adams,2024-01-18,40
Wayne Lee,2024-01-02,50
Adam Sweeney,2024-01-10,30
Craig Castillo,2024-01-22,40
Kenneth Williams,2024-01-18,40
Lisa Mccormick,2024-01-07,50
Christopher Little,2024-01-27,50
Brian Wood,2024-01-28,30
Daniel Evans,2024-01-07,50
Thomas Phillips,2024-01-23,40
Christina Cobb,2024-01-17,50
Carlos Hunt,2024-01-06,50
Stephanie Olson,2024-01-12,30
Gloria Price,2024-01-18,50
Peter Kennedy,2024-01-19,50
Matthew Rowe,2024-01-24,50
David Clayton,2024-01-16,30
Robert Jordan,2024-01-05,40
Denise Dixon,2024-01-07,30
Anthony Sweeney,2024-01-19,30
Cynthia Price,2024-01-30,40
Anne Ramirez,2024-01-03,30
Jacob Golden,2024-01-29,30
Julie Warner,2024-01-12,40
Christopher Benton,2024-01-10,40
Angela Austin,2024-01-15,40
Charles Chase,2024-01-03,40
Ann Lewis,2024-01-13,40
Wesley Powell,2024-01-16,30
Kelsey Willis,2024-01-01,50
Melissa Schaefer,2024-01-18,30
Douglas Alexander,2024-01-01,40
Frank Marquez,2024-01-16,40
Rebecca Mckinney,2024-01-02,40
Jennifer Miller,2024-01-07,50
Teresa Humphrey,2024-01-04,40
Latoya Dodson MD,2024-01-16,50
Mr. Christopher Bates,2024-01-21,30
Kimberly Bennett,2024-01-17,50
Matthew Blake,2024-01-17,50
Brenda Cole,2024-01-21,40
Kelly Lawson,2024-01-12,30
Michael Thompson,2024-01-16,50
Thomas Garcia,2024-01-18,30
Anthony Garcia,2024-01-30,40
Elizabeth Walsh,2024-01-13,50
Robert Cantu,2024-01-23,30
Jill Conrad,2024-01-20,50
Brittany Nelson,2024-01-12,50
Robin Cross,2024-01-02,30
Dawn Wilson,2024-01-13,30
Craig Stone,2024-01-14,50
Evan Rodriguez,2024-01-27,40
William Owens,2024-01-08,40
Pamela Johnson,2024-01-16,30
Franklin Lopez,2024-01-05,40
Danielle Cox,2024-01-06,30
Travis Price,2024-01-10,40
Michael Baker,2024-01-11,50
Anita Obrien DVM,2024-01-01,30
Chad Day,2024-01-05,50
Renee Reyes,2024-01-12,30
Thomas Harris,2024-01-15,30
Anthony Mitchell,2024-01-23,30
Stephanie Smith,2024-01-18,50
Brenda Perez,2024-01-24,30
Kristopher Porter,2024-01-18,40
Stephen Frazier,2024-01-30,30
Renee Spencer,2024-01-27,40
Lisa Alvarado,2024-01-19,30
Vicki Austin,2024-01-09,30
William Vazquez,2024-01-05,50
Howard Anderson,2024-01-30,50
George Conrad,2024-01-02,50
Matthew Martin,2024-01-12,40
Amber Suarez,2024-01-27,40
Scott Nelson,2024-01-17,30
Louis Peterson,2024-01-22,50
Karen Stafford,2024-01-20,50
Jennifer Moore DDS,2024-01-04,30
Chad Harris,2024-01-27,50
Raymond Horn,2024-01-07,40
Brian Jenkins,2024-01-20,40
Lisa Alvarez,2024-01-04,40
Aaron Vasquez,2024-01-07,40
Wyatt Taylor,2024-01-25,30
Ronald Perez,2024-01-01,40
Mary Cardenas,2024-01-12,50
Dan Price,2024-01-14,40
John Berger,2024-01-05,30
Stephanie Donovan,2024-01-17,50
Maria Sullivan,2024-01-04,30
Joshua Irwin,2024-01-13,50
Lisa Cooke,2024-01-27,40
John Ortiz,2024-01-01,40
Shelly Jones,2024-01-01,40
Thomas West,2024-01-21,40
Margaret Lopez,2024-01-23,50
Cheryl Greene,2024-01-25,30
Louis Khan,2024-01-09,30
Amy Rodriguez,2024-01-25,30
Vanessa Phillips,2024-01-14,50
Kristy Cook,2024-01-19,30
Christopher Hanson,2024-01-30,50
Robert Clark,2024-01-10,30
Mary Kim,2024-01-27,30
Steven Taylor,2024-01-05,30
Susan Fisher,2024-01-02,40
Latasha Fernandez,2024-01-22,50
Michelle Thomas,2024-01-29,40
Benjamin George,2024-01-23,40
Valerie Randolph,2024-01-03,30
Mark Boyer,2024-01-02,50
Emma Brown,2024-01-06,30
Andrea Ayala,2024-01-06,50
Brian Williams,2024-01-09,40
Karen Noble,2024-01-19,30
Amy Curry,2024-01-20,40
Ian Fuller,2024-01-15,50
Kevin Lindsey,2024-01-10,40
Robin Moore,2024-01-26,40
Logan Jackson,2024-01-30,40
Michael Mitchell,2024-01-24,50
Mary Johnson,2024-01-16,40
Michael Barnes,2024-01-23,40
Courtney Yu,2024-01-13,30
Jennifer Avila,2024-01-17,40
Jasmine Lozano,2024-01-05,50
Christina Berger,2024-01-29,30
Kari Ryan,2024-01-29,40
Daniel Baker,2024-01-10,50
Jean Moore,2024-01-05,40
Robert Horton,2024-01-16,50
Robert Robinson,2024-01-26,40
Nicholas King,2024-01-02,30
Joshua Stark,2024-01-10,40
Wayne Porter,2024-01-03,50
Shawn Norris,2024-01-17,30
Alexis Watts,2024-01-30,50
Lisa Perez,2024-01-08,30
Gary Hays,2024-01-04,30
David Leonard,2024-01-21,30
Nicole Smith,2024-01-10,30
Edward Reid,2024-01-25,30
Tara Good,2024-01-07,50
Johnathan Holland,2024-01-04,30
Sydney Blake,2024-01-01,50
Jason Lopez,2024-01-07,40
Christina Green,2024-01-25,50
Mr. Jason Walker,2024-01-10,40
Joshua Hines PhD,2024-01-09,30
Erica Smith,2024-01-01,40
Jimmy Roberts,2024-01-08,40
Michael Thompson,2024-01-25,50
Christina Smith,2024-01-14,30
David Watson,2024-01-15,30
Roberto Friedman,2024-01-30,30
Scott Perez,2024-01-07,30
Sharon Riley,2024-01-15,30
Brenda Bright,2024-01-23,30
Phillip Braun,2024-01-04,30
Amanda Welch,2024-01-13,40
Alexandra Guerra,2024-01-30,40
Aaron Maldonado,2024-01-03,30
Natalie Cooper,2024-01-15,30
Kristin Reyes,2024-01-08,40
William Tyler,2024-01-12,40
Thomas Bray,2024-01-26,50
Mike Mendoza,2024-01-05,40
